CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
9313033,1,1,1,F,23,3,1,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2021
9336972,1,1,3,-,18,2,-,-,-,-,"SAN LUIS OBISPO","SAN LUIS OBISPO",2021
9436106,1,1,1,M,22,4,1,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
9436106,2,1,1,F,30,4,1,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81937945,2,1,4,M,25,6,1,-,W,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
90739544,2,1,1,M,28,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90739544,2,2,2,F,21,7,3,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90855596,2,1,4,M,25,6,1,-,W,1,"SAN LUIS OBISPO",UNINCORPORATED,2018
8567482,1,1,1,F,75,4,1,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2018
8599996,2,1,1,F,36,4,1,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2018
8673260,2,1,2,M,1,4,5,P,Q,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2018
8718278,1,1,1,F,18,4,1,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2018
8718278,2,1,1,M,25,4,1,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2018
8718278,2,2,2,M,27,4,3,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2018
8980791,1,1,1,M,62,3,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2019
9112555,1,1,1,F,17,4,1,-,-,0,"SAN LUIS OBISPO","ARROYO GRANDE",2020
91736608,1,1,1,M,31,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91954676,3,1,3,M,42,5,0,P,P,-,"SAN LUIS OBISPO",UNINCORPORATED,2022
91960843,1,1,1,M,17,6,1,M,H,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
92194386,2,1,1,F,22,7,1,M,G,0,"SAN LUIS OBISPO",ATASCADERO,2023
92267588,1,1,1,M,31,7,1,M,B,0,"SAN LUIS OBISPO","PASO ROBLES",2023
90964618,1,1,1,M,78,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
91200208,1,1,1,M,78,6,1,N,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91325487,1,1,1,F,27,5,1,L,H,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91489770,2,1,1,F,48,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91541715,2,1,1,F,46,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91560716,2,1,1,F,40,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91560716,2,2,2,F,31,7,3,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
90712358,1,1,1,M,27,7,1,P,W,1,"SAN LUIS OBISPO",ATASCADERO,2018
90755772,2,1,1,F,57,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90765294,1,1,1,M,30,7,1,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2018
90848029,1,1,1,M,37,5,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90895998,1,1,1,F,27,5,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90940074,1,1,1,M,64,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
9583401,1,1,1,M,87,6,1,M,B,0,"SAN LUIS OBISPO","PISMO BEACH",2023
81820918,2,1,2,F,51,7,3,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2022
81989253,2,1,2,F,58,7,3,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2023
82085248,1,1,1,M,22,6,1,P,-,1,"SAN LUIS OBISPO",ATASCADERO,2023
